pageid,title,wikitext,anlam,parcalar,yeni_parcalar,degisti_mi,muhtemel aynılar
230322,Abdalın dostluğu köy görününceye kadar,#ERROR!,"# Çıkarı dolayısıyla size yakınlık gösteren kişi, işini yürütecek başka yollar bulunca sizinle ilgisini keser. ","çıkarı, çıkar, dolayısıyla, size, yakınlık, yakın, gösteren, kişi, işini, iş, yürütecek, yürümek, başka, yollar, yollamak, bulunca, bulunç, sizinle, siz, ilgisini, i̇lgi, keser","çıkarı, çıkar, dolayısıyla, size, yakınlık, yakın, gösteren, kişi, işini, iş, yürütecek, başka, yollar, yol, bulunca, bulmak, sizinle, siz, ilgisini, i̇lgi, keser",1,
230323,Abdalın karnı doyunca gözü pabucundadır,#ERROR!,# Çıkarcı kimsenin arkadaşlığı işi bitinceye kadardır.,"çıkarcı, kimsenin, kimse, arkadaşlığı, arkadaş, işi, iş, bitinceye, kadardır, kadar","çıkarcı, kimsenin, kimse, arkadaşlığı, arkadaş, işi, iş, bitinceye, kadardır, kadar",0,
230324,"Abdalın yağı çok olursa gah borusuna çalar, gah gerisine",#ERROR!,"# Varlıklı, ama akılsız ve hesapsız kişi, malını gereksiz yerlere harcar, telef eder. ","varlıklı, varlık, akılsız, akıl, hesapsız, hesap, kişi, malını, mal, gereksiz, gerek, yerlere, yer, harcar, telef, eder","varlıklı, varlık, akılsız, akıl, hesapsız, hesap, kişi, malını, mal, gereksiz, yerlere, yer, harcar, telef, eder",1,
230494,Abdestsiz sofuya namaz mı dayanır?,#ERROR!,# Gerekli koşulları yerine getirilmedikten sonra az zamanda pek çok iş yapılır.,"gerekli, koşulları, koşul, yerine, getirilmedikten, sonra, zamanda, zaman, pek, iş, yapılır","gerekli, koşulları, koşul, yerine, getirilmedikten, sonra, zamanda, zaman, pek, iş, yapılır",0,
450280,"Aca dokuz yorgan örtmüşler, yine uyuyamamış",#ERROR!,,,,0,
230334,"Acar tazı çullu da belli olur, çulsuz da",#ERROR!,"# Değerli kişi, gösterişi, giyim kuşamı olmasa da değerinden bir şey yitirmez; nerede olsa tanınır. ","değerli, kişi, gösterişi, gösteriş, giyim, kuşamı, kuşam, olmasa, olmak, değerinden, değer, bir, yitirmez, yitirmek, olsa, olmak, tanınır, tanımak","değerli, kişi, gösterişi, gösteriş, giyim, kuşamı, kuşam, olmasa, olmamak, değerinden, değer, yitirmez, yitirmek, olsa, olmak, tanınır, tanınmak",1,
458834,acele bir ağaçtır meyvesi pişmanlık,#ERROR!,# yapılan bir işe yeterli süre ayırıp o sürede yapmak gerekir,"yapılan, yapılanmak, bir, işe, işemek, yeterli, süre, ayırıp, sürede, süre, yapmak, gerekir","yapılan, yapmak, işe, iş, yeterli, süre, ayırıp, sürede, süre, yapmak, gerekir",1,
294375,Acele giden ecele gider,#ERROR!,"# İvmekle daha çabuk sonuç alınır sanılmamalıdır. # Daha çabuk sonuç almak amacıyla işini hızlı yapan kötü sonuç alabilir. # Acele işe şeytanın karıştığı gibi, acele işlerimiz hep bizim dikkatimizi dağıtır, daha dağınık iş yapmamıza neden olur. ","i, vmekle, çabuk, sonuç, alınır, sanılmamalıdır, çabuk, sonuç, almak, amacıyla, amaç, işini, iş, hızlı, yapan, kötü, sonuç, alabilir, acele, işe, işemek, şeytanın, şeytan, karıştığı, karışmak, acele, işlerimiz, iş, bizim, biz, dikkatimizi, dikkat, dağıtır, dağıtmak, dağınık, iş, yapmamıza, yapmak, olur","ivmekle, çabuk, sonuç, alınır, sanılmamalıdır, çabuk, sonuç, almak, amacıyla, amaç, işini, iş, hızlı, yapan, kötü, sonuç, alabilir, acele, işe, iş, şeytanın, şeytan, karıştığı, karışmak, acele, işlerimiz, iş, bizim, biz, dikkatimizi, dikkat, dağıtır, dağıtmak, dağınık, iş, yapmamıza, yapmak, olur",1,"('Acele giden ecele gider.', 100, 295447)"
295447,Acele giden ecele gider.,#ERROR!,"# Acele işe şeytanın karıştığı gibi, acele işlerimiz dikkatimizi dağıtır, daha dağınık iş yapmamıza neden olur.","acele, işe, işemek, şeytanın, şeytan, karıştığı, karışmak, acele, işlerimiz, iş, dikkatimizi, dikkat, dağıtır, dağıtmak, dağınık, iş, yapmamıza, yapmak, olur","acele, işe, iş, şeytanın, şeytan, karıştığı, karışmak, acele, işlerimiz, iş, dikkatimizi, dikkat, dağıtır, dağıtmak, dağınık, iş, yapmamıza, yapmak, olur",1,
230335,Acele ile menzil alınmaz,#ERROR!,# ivmekle daha çabuk sonuç alınır sanılmamalıdır,"ivmekle, ivmek, çabuk, sonuç, alınır, sanılmamalıdır","ivmekle, ivmek, çabuk, sonuç, alınır, sanılmamalıdır",0,
17405,Acele işe şeytan karışır,"
==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Acele]] [[iş]]e [[şeytan]] karışır.

:[1] Bir işi acele yaparsak yanlış veya hatalı olur anlamında bir söz.

====Eş anlamlılar====
:[1] [[Acele ile menzil alınmaz]]
:[2] [[Acele giden ecele gider]]
:[3] [[Acele yürüyen yolda kalır]] 

====Karşılıklar====
{{Üst}}
*Almanca: {{ç|de|eile mit Weile}}
*Farsça: {{ç|fa|عجله کار شیطان است}}
*Fransızca: {{ç|fr|la vitesse de Satan}}, {{ç|fr|qui va lentement va sûrement}}
*İngilizce: {{ç|en|great haste makes great waste}}, {{ç|en|haste makes waste}}, {{ç|en|more haste less speed}}
*İspanyolca: {{ç|es|no por mucho madrugar se amanece más temprano}}
*İsveççe: {{ç|sv|det är bäst att skynda långsamt}}
*İtalyanca: {{ç|it|la gatta frettolosa fece i gattini ciechi}}
*Portekizce: {{ç|pt|a pressa é inimiga da perfeição}}
*Arapça: {{ç|ar|فى التأنى السلامة وفى العجلة الندامه}}
*Rumence: {{ç|ro|graba strică treaba}}
{{Alt}}

====Çeviriler====
{{Üst|tip=çeviriler}}
*Almanca: [1] In hastige Arbeit mischt sich der Teufel ein
*İngilizce: [1] The Devil is involved in hurried work
*Rumence: [1] Dracul se bagă în treaba făcută în grabă
{{Alt}}",# Bir işi acele yaparsak yanlış veya hatalı olur anlamında bir söz.,"bir, işi, iş, acele, yaparsak, yanlış, hatalı, hata, olur, anlamında, anlam, bir, söz","işi, iş, acele, yaparsak, yanlış, hatalı, hata, olur",1,
230336,Acele yürüyen yolda kalır,#ERROR!,# Bir insan işini acele ile yapıp hemen bitirmek isterse işi yaparken işini şaşırır ve sona erdiremez.,"bir, insan, işini, iş, acele, yapıp, hemen, bitirmek, isterse, ister, işi, iş, yaparken, işini, iş, şaşırır, şaşırmak, sona, erdiremez, ermek","insan, işini, iş, acele, yapıp, hemen, bitirmek, isterse, istemek, işi, iş, yaparken, işini, iş, şaşırır, şaşırmak, sona, erdiremez, ermek",1,
210400,Aceleci sinek süte düşer,#ERROR!,"# ""Yeteri kadar düşünüp taşınmadan, çabuk ve acele davranılarak yapılan işten pekiyi sonuç beklenmemelidir; o iş ya yanlıştır ya da bozuktur. Bunun sonucu olarak bu işi bize veren insanları hayal kırıklığına uğratabilir; kendimizden kötü anlamda ödün vermiş olabiliriz."" ","yeteri, kadar, düşünüp, taşınmadan, taşınmak, çabuk, acele, davranılarak, yapılan, yapılanmak, işten, iş, pekiyi, sonuç, beklenmemelidir, bek, iş, yanlıştır, yanlış, bozuktur, bozuk, bunun, bun, sonucu, sonuç, olarak, işi, iş, bize, veren, vere, insanları, insan, hayal, kırıklığına, kırık, uğratabilir, uğramak, kendimizden, kendi, kötü, anlamda, anlam, ödün, vermiş, vermek, olabiliriz","yeteri, kadar, düşünüp, taşınmadan, taşınmak, çabuk, acele, davranılarak, yapılan, yapmak, işten, iş, pekiyi, sonuç, beklenmemelidir, iş, yanlıştır, yanlış, bozuktur, bozuk, bunun, sonucu, sonuç, olarak, işi, iş, bize, veren, vermek, insanları, insan, hayal, kırıklığına, kırık, uğratabilir, kendimizden, kendi, kötü, anlamda, anlam, ödün, vermiş, vermek, olabiliriz",1,"('İven sinek süte düşer', 78, 230225)"
162879,Acemi katır kapı önünde yük indirir,#ERROR!,"# ""Elinden yeterince iş gelmeyen kimseler,kendilerine verilen görevi istenildiği biçimde yapamazlar"" anlamında bir söz.","elinden, yeterince, iş, gelmeyen, gelmek, kimseler, kimse, kendilerine, kendi, verilen, veri, görevi, görev, istenildiği, biçimde, biçim, yapamazlar, anlamında, anlam, bir, söz","elinden, yeterince, iş, gelmeyen, gelmek, kimseler, kimse, kendilerine, kendi, verilen, vermek, görevi, görev, istenildiği, biçimde, biçim, yapamazlar",1,
181518,"Acemi nalbant gibi kah nalına vurur,kah mıhına",#ERROR!,"# ""Söylediği sözlerle yaptığı işler arasında tutarlılık yoktur.Bunu da genellikle bilmeyerek yapar"" anlamında bir söz.","söylediği, söylemek, sözlerle, söz, yaptığı, yapmak, işler, işlemek, arasında, aras, tutarlılık, tutar, yoktur, yok, bunu, bun, genellikle, bilmeyerek, bilmek, yapar, anlamında, anlam, bir, söz","söylediği, söylemek, sözlerle, söz, yaptığı, yapmak, işler, iş, arasında, tutarlılık, tutar, yoktur, yok, bunu, genellikle, bilmeyerek, bilmek, yapar",1,
230337,Acemi nalbant Kürt eşeğinde dener kendini,#ERROR!,"# İşinde ustalığa erişmemiş kimse, ilk denemelerini heder olmasına acınmayacak malzeme üzerinde yapar. ","i, şinde, ustalığa, ustalık, erişmemiş, erişmek, kimse, ilk, denemelerini, deneme, heder, olmasına, olmak, acınmayacak, acınmak, malzeme, üzerinde, yapar","işinde, ustalığa, ustalık, erişmemiş, erişmek, kimse, ilk, denemelerini, deneme, heder, olmasına, olmak, acınmayacak, acınmak, malzeme, üzerinde, yapar",1,
230333,"Acı acıyı keser, su sancıyı",#ERROR!,# Bir güçlüğü yenmek için başka bir güç yola başvurmak gerekir.,"bir, güçlüğü, güçlük, yenmek, başka, bir, güç, yola, yol, başvurmak, gerekir","güçlüğü, güçlük, yenmek, başka, güç, yola, yol, başvurmak, gerekir",1,
181517,Acı patlıcanı kırağı çalmaz,#ERROR!,"# Hayatta birçok problemle karşılaşıp bunlardan başarı ile çıkmış olanlar, bundan sonra karşılaşacakları zorlukları da atlatıp başarı ile çıkarlar.","hayatta, hayat, birçok, problemle, problem, karşılaşıp, karşılaşmak, bunlardan, bun, başarı, çıkmış, çıkmak, olanlar, bundan, bun, sonra, karşılaşacakları, karşılaşmak, zorlukları, zor, atlatıp, atlatmak, başarı, çıkarlar, çıkar","hayatta, hayat, birçok, problemle, problem, karşılaşıp, karşılaşmak, bunlardan, başarı, çıkmış, çıkmak, olanlar, bundan, sonra, karşılaşacakları, karşılaşmak, zorlukları, zor, atlatıp, atlatmak, başarı, çıkarlar, çıkar",1,
400431,"Acıkan doymam sanır, susayan kanmam sanır",#ERROR!,"# Bir şeyi uzun süre elde edemeyen kimse, daha sonra o şeyden ne kadar çok edinirse edinsin yine kendisine yetmeyeceği kanısında bulunur. ","bir, şeyi, şey, uzun, süre, elde, edemeyen, kimse, sonra, şeyden, şey, kadar, edinirse, edinsin, edinmek, yine, kendisine, kendi, yetmeyeceği, yetmek, kanısında, kanı, bulunur","şeyi, şey, uzun, süre, elde, edemeyen, kimse, sonra, şeyden, şey, kadar, edinirse, edinsin, edinmek, yine, kendisine, kendi, yetmeyeceği, yetmek, kanısında, kanı, bulunur",1,
230328,"Acıkan ne olsa yer, acıyan ne olsa söyler",#ERROR!,"# Geçim sıkıntısı içinde bulunan kişi, ne türlü bir geçim yolu bulursa onu yapar. Canı yanan kişi de sonunu düşünmeden ağzına geleni söyler. ","geçim, sıkıntısı, sıkıntı, içinde, bulunan, kişi, türlü, bir, geçim, yolu, yol, bulursa, onu, on, yapar, canı, can, yanan, yanmak, kişi, sonunu, son, düşünmeden, düşünmek, ağzına, ağız, geleni, söyler","geçim, sıkıntısı, sıkıntı, içinde, bulunan, kişi, türlü, geçim, yolu, yol, bulursa, onu, yapar, canı, can, yanan, yanmak, kişi, sonunu, son, düşünmeden, düşünmek, ağzına, ağız, geleni, söyler",1,
230330,Acıkmış kudurmuştan beterdir,#ERROR!,"# Uzun zaman bir nesnenin yokluğunu çeken kişi, kudurmuş gibi ona saldırır. Gözü başka şey görmez. ","uzun, zaman, bir, nesnenin, nesne, yokluğunu, yok, çeken, kişi, kudurmuş, kudurmak, ona, onamak, saldırır, salmak, gözü, göz, başka, görmez","uzun, zaman, nesnenin, nesne, yokluğunu, yok, çeken, kişi, kudurmuş, kudurmak, ona, saldırır, saldırmak, gözü, göz, başka, görmez",1,"('Alışmış kudurmuştan beterdir', 93, 230408)"
230331,Acındırırsan arsız olur; acıktırırsan hırsız olur,#ERROR!,"# Koruduğunuz kimse, başkalarını ona acındırdığınızı göre göre arsız olur. Emeğinin tam karşılığını vermediğiniz kimse de hırsız olur. ","koruduğunuz, korumak, kimse, başkalarını, başka, ona, onamak, acındırdığınızı, acındırmak, göre, göre, arsız, olur, emeğinin, emek, tam, karşılığını, karşılık, vermediğiniz, vermek, kimse, hırsız, olur","koruduğunuz, korumak, kimse, başkalarını, başka, ona, acındırdığınızı, acındırmak, göre göre, arsız, olur, emeğinin, emek, tam, karşılığını, karşılık, vermediğiniz, vermek, kimse, hırsız, olur",1,
230332,"Acıyan uyumuş, acıkan uyumamış",#ERROR!,"# Her türlü sıkıntıya katlanlır, açlığa katlanılmaz. ","türlü, sıkıntıya, sıkıntı, katlanlır, açlığa, açlık, katlanılmaz, katlamak","türlü, sıkıntıya, sıkıntı, katlanılır, açlığa, açlık, katlanılmaz, katlanmak",1,"('Yılan sokan uyumuş, aç kalan uyumamış', 75, 230067)"
295592,"Aç aceleci, tok yavaş olur",#ERROR!,#,,,0,
230249,Aç aç ile yatınca arada dilenci doğar,#ERROR!,# Karı ve koca yoksul olursa bunlardan doğacak çocuk zengin olmaz ya.,"karı, karımak, koca, yoksul, olursa, olur, bunlardan, bun, doğacak, çocuk, zengin, olmaz","karı, koca, yoksul, olursa, olmak, bunlardan, doğacak, çocuk, zengin, olmaz",1,
230250,"Aç aman bilmez, çocuk zaman bilmez",#ERROR!,"# Aç, hiçbir mazeretle susturulamaz. Çocuk da bir şey istedi mi, beklemek bilmez. ","aç, hiçbir, mazeretle, mazeret, susturulamaz, susturmak, çocuk, bir, istedi, istemek, mi, beklemek, bilmez, bilmek","aç, hiçbir, mazeretle, mazeret, susturulamaz, susturmak, çocuk, istedi, istemek, mi, beklemek, bilmez, bilmek",1,
230251,Aç anansa da kaç,#ERROR!,# Aç her fenalığı göze almıştır. En yakınları için bile korkulacak bir kimsedir.,"aç, fenalığı, fena, göze, almıştır, almak, yakınları, yakın, bile, korkulacak, korkmak, bir, kimsedir, kimse","aç, fenalığı, fena, göze, almıştır, almak, yakınları, yakın, bile, korkulacak, korkmak, kimsedir, kimse",1,"('Aç, yanından kaç', 75, 230235)"
230252,Aç arslandan tok domuz yeğdir,#ERROR!,"# Sadece soyluluk işe yaramaz. Soysuz olup para kazanan, soylu olup da para kazanmayandan üstündür. ","sadece, soyluluk, soylu, işe, işemek, yaramaz, soysuz, olup, para, kazanan, soylu, olup, para, kazanmayandan, kazanmak, üstündür, üstün","sadece, soyluluk, soylu, işe, iş, yaramaz, soysuz, olup, para, kazanan, soylu, olup, para, kazanmayandan, kazanmak, üstündür, üstün",1,"('Aç aslandan tok domuz yeğdir', 98, 400424)"
400424,Aç aslandan tok domuz yeğdir,#ERROR!,"# Soysuz olup para kazanan, soylu olup da para kazanmayandan üstündür. ","soysuz, olup, para, kazanan, soylu, olup, para, kazanmayandan, kazanmak, üstündür, üstün","soysuz, olup, para, kazanan, soylu, olup, para, kazanmayandan, kazanmak, üstündür, üstün",0,
230253,"Aç at yol almaz, aç it av almaz",#ERROR!,# İş gördüğünüz kimseleri aç bırakırsanız kendilerinden yararlanamazsınız.,"i, ş, gördüğünüz, görmek, kimseleri, kimse, aç, bırakırsanız, kendilerinden, kendi, yararlanamazsınız, yarar","iş, gördüğünüz, görmek, kimseleri, kimse, aç, bırakırsanız, kendilerinden, kendi, yararlanamazsınız, yararlanmak",1,
230254,Aç ayı oynamaz,#ERROR!,# Birine iş yaptırabilmek için önce onu doyurmalıyız,"birine, biri, iş, yaptırabilmek, yapmak, önce, onu, on, doyurmalıyız","birine, biri, iş, yaptırabilmek, yapmak, önce, onu, doyurmalıyız",1,
230255,Aç domuz darıdan çıkmaz,#ERROR!,"# Kötü yaradılışlı açın düşündüğü tek şey, karnını doyurmaktır. Bunu yaparken kime, neyezarar verdiğini düşünmez. ","kötü, yaradılışlı, yaradılış, açın, açınmak, düşündüğü, düşünmek, tek, karnını, karın, doyurmaktır, doyurmak, bunu, bun, yaparken, kime, kim, neyezarar, verdiğini, vermek, düşünmez, düşünmek","kötü, yaradılışlı, yaradılış, açın, düşündüğü, düşünmek, tek, karnını, karın, doyurmaktır, doyurmak, bunu, yaparken, kime, kim, neye , zarar, verdiğini, vermek, düşünmez, düşünmek",1,
230256,"Aç doymam, tok acıkmam sanır",#ERROR!,"# Aç insan, yeterinden çok yiyecek ister. Tok insan da kendisine yiyecek şey gerek değil gibi davranır.Sözgelişi yoksul kişi, kazandıkça daha kazanmaya çalışır. Varlıklı kişi ise durumunun sürüpgideceğini sanır da kazanç yollarına başvurmaz. Dahası, elindekini bilinçsiz tüketir .. ","aç, insan, yeterinden, yiyecek, ister, tok, insan, kendisine, kendi, yiyecek, gerek, değil, davranır, sözgelişi, yoksul, kişi, kazandıkça, kazanmak, kazanmaya, kazanmak, çalışır, varlıklı, varlık, kişi, durumunun, durum, sürüpgideceğini, sanır, kazanç, yollarına, yol, başvurmaz, başvurmak, dahası, elindekini, el, bilinçsiz, bilinç, tüketir, tüketmek","aç, insan, yeterinden, yiyecek, ister, tok, insan, kendisine, kendi, yiyecek, gerek, değil, davranır, sözgelişi, yoksul, kişi, kazandıkça, kazanmak, kazanmaya, kazanmak, çalışır, varlıklı, varlık, kişi, durumunun, durum, sürüp, gideceğini, sanır, kazanç, yollarına, yol, başvurmaz, başvurmak, dahası, elindekini, el, bilinçsiz, bilinç, tüketir, tüketmek",1,
230257,Aç elini kora sokar,#ERROR!,"# Aç insan, yiyeceğini sağlamak için kendisini tehlikeye atmaktan çekinmez. ","aç, insan, yiyeceğini, yiyecek, sağlamak, kendisini, kendi, tehlikeye, tehlike, atmaktan, atmak, çekinmez, çekinmek","aç, insan, yiyeceğini, yiyecek, sağlamak, kendisini, kendi, tehlikeye, tehlike, atmaktan, atmak, çekinmez, çekinmek",0,
230258,"Aç esner, aşık gerinir",#ERROR!,"# İçinde bulundukları koşullara göre herkesin ayrı bir durumu, ayrı bir davranışı vardır. ","i, çinde, çin, bulundukları, bulunmak, koşullara, koşul, göre, herkesin, herkes, ayrı, bir, durumu, durum, ayrı, bir, davranışı, davranış, vardır, varmak","içinde, bulundukları, bulunmak, koşullara, koşul, göre, herkesin, herkes, ayrı, durumu, durum, ayrı,  davranışı, davranış, vardır, varmak",1,
230260,Aç gezmekten tok ölmek yeğdir,#ERROR!,# Aç olarak yaşamanın ne tadı vardır? Ölürken bile tok olmak yeğlenir.,"aç, olarak, yaşamanın, yaşamak, tadı, tat, vardır, varmak, ölürken, bile, tok, olmak, yeğlenir, yeğlemek","aç, olarak, yaşamanın, yaşamak, tadı, tat, vardır, ölürken, bile, tok, olmak, yeğlenir, yeğlemek",1,"('Aç gezmektense tok ölmek yeğdir', 97, 220944)"
220944,Aç gezmektense tok ölmek yeğdir,#ERROR!,"# ""Yoksulluk ölümden de beterdir."" anlamında bir söz.","yoksulluk, yoksul, ölümden, ölüm, beterdir, beter, anlamında, anlam, bir, söz","yoksulluk, yoksul, ölümden, ölüm, beterdir, beter",1,
230259,"Aç gözünü, açarlar gözünü",#ERROR!,# Her işinde uyanık bulun. Yoksa öyle silleler yersin ki gözünü dört açmak zorunda kalırsın.,"işinde, iş, uyanık, bulun, bulunmak, yoksa, yoksamak, öyle, silleler, sille, yersin, yermek, gözünü, göz, dört, açmak, zorunda, zor, kalırsın","işinde, iş, uyanık, bulun, bulunmak, yoksa, öyle, silleler, sille, yersin, gözünü, göz, dört, açmak, zorunda, kalırsın",1,
230261,Aç ile dost olayım diyen peşin karnını doyursun,#ERROR!,"# İlişki kuracağımız kimsenin sağlaması olanağı bulunmayan şeyi, ona güvenmeden, kendimizsağlamalıyız. ","i, lişki, kuracağımız, kimsenin, kimse, sağlaması, sağlamak, olanağı, olanak, bulunmayan, bulunmak, şeyi, şey, ona, onamak, güvenmeden, güvenmek, kendimizsağlamalıyız","ilişki, kuracağımız, kimsenin, kimse, sağlaması, sağlamak, olanağı, olanak, bulunmayan, bulunmak, şeyi, şey, ona, güvenmeden, güvenmek, kendimiz , sağlamalıyız",1,
230262,Aç ile eceli gelen söyleşir,#ERROR!,"# Açın gözü hiçbir şeyi görmez. O, karnını doyurmak için, kendisine güçlük çıkaran kimseyi öldürebilir. ","açın, açınmak, gözü, göz, hiçbir, şeyi, şey, görmez, karnını, karın, doyurmak, kendisine, kendi, güçlük, çıkaran, kimseyi, kimse, öldürebilir, öldürmek","açın, gözü, göz, hiçbir, şeyi, şey, görmez, karnını, karın, doyurmak, kendisine, kendi, güçlük, çıkaran, kimseyi, kimse, öldürebilir, öldürmek",1,
